collision_date,day,dd,year,mm,num_collisions,fatalities,injured,weighted_fatalities_injuries,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
2013-01-21,1,21,2013,01,355,0,85,8.5,9.3,1016.1,11.1,39.9,26.1,0.0,29.8,10.0,5.1,22.9,0.0,,0.0,0.0,0.0
2020-12-28,1,28,2020,12,217,0,85,8.5,28.7,1022.3,6.0,50.0,24.1,0.0,42.3,10.0,4.1,15.0,0.0,,0.0,0.0,0.0
2021-01-10,7,10,2021,01,177,0,85,8.5,16.8,1019.9,8.9,41.0,24.1,0.0,34.1,10.0,4.1,15.9,0.0,,0.0,0.0,0.0
2021-01-25,1,25,2021,01,260,0,85,8.5,9.0,1019.6,11.1,37.0,21.9,0.0,29.0,10.0,5.0,17.1,0.0,,0.0,0.0,0.0
2015-02-08,7,08,2015,02,394,0,85,8.5,27.6,1013.7,13.0,39.9,25.0,0.0,35.1,5.9,5.9,18.1,0.02,7.9,0.0,0.0,0.0
2021-01-28,4,28,2021,01,262,0,86,8.5,13.2,1018.1,17.1,37.0,25.0,0.0,30.0,10.0,7.2,32.1,0.0,,0.0,0.0,0.0
2021-01-11,1,11,2021,01,238,0,85,8.5,20.5,1025.4,5.1,41.0,28.0,0.0,32.4,10.0,2.7,,0.0,,0.0,0.0,0.0
2012-11-03,6,03,2012,11,307,0,85,8.5,30.1,1009.4,15.0,51.8,42.1,0.0,44.7,10.0,7.6,25.1,0.01,,0.0,0.0,0.0
2020-05-13,3,13,2020,05,212,0,90,9.0,22.0,1023.8,9.9,64.0,41.0,0.0,52.0,10.0,5.2,17.1,0.0,,0.0,0.0,0.0
2020-05-17,7,17,2020,05,171,0,90,9.0,44.8,1024.1,8.0,77.0,55.0,0.0,60.9,10.0,2.4,18.1,0.01,,0.0,0.0,0.0
2020-05-23,6,23,2020,05,193,0,90,9.0,60.4,1016.3,20.0,77.0,54.0,1.0,62.7,5.5,7.1,28.0,0.03,,0.0,0.0,0.0
2015-03-28,6,28,2015,03,459,0,90,9.0,21.1,1009.7,11.1,46.0,33.1,0.0,37.2,9.8,6.3,19.0,0.27,,0.0,0.0,1.0
2013-02-18,1,18,2013,02,398,0,90,9.0,2.0,1019.7,18.1,35.1,17.1,0.0,23.4,10.0,8.2,28.9,0.0,,0.0,0.0,0.0
2022-01-31,1,31,2022,01,312,0,90,9.0,5.6,1025.3,6.0,30.9,12.0,0.0,25.0,10.0,3.5,14.0,0.0,7.1,0.0,0.0,0.0
2020-12-06,7,06,2020,12,241,0,95,9.5,21.7,1008.4,15.9,46.9,35.1,0.0,37.8,10.0,9.6,26.0,0.32,,0.0,0.0,0.0
2021-02-25,4,25,2021,02,269,0,95,9.5,23.5,1014.8,13.0,54.0,39.0,0.0,46.0,10.0,8.2,27.0,0.0,2.0,0.0,0.0,0.0
2020-05-21,4,21,2020,05,212,0,95,9.5,40.6,1029.3,14.0,68.0,46.0,0.0,55.4,10.0,6.7,,0.0,,0.0,0.0,0.0
2015-03-03,2,03,2015,03,631,0,95,9.5,11.9,1027.7,14.0,39.0,21.9,0.0,28.2,8.5,4.7,20.0,0.0,15.0,0.0,0.0,1.0
2016-02-09,2,09,2016,02,571,0,100,10.0,21.8,1004.4,8.9,39.0,27.0,0.0,30.4,9.4,4.7,15.0,0.05,,0.0,0.0,1.0
2022-04-18,1,18,2022,04,239,0,100,10.0,23.1,1026.0,8.9,54.0,39.0,0.0,45.4,10.0,3.6,17.1,0.0,,0.0,0.0,0.0
2020-01-27,1,27,2020,01,452,0,100,10.0,27.3,1006.2,15.9,46.0,37.0,0.0,40.4,10.0,12.2,22.0,0.0,,0.0,0.0,0.0
2014-01-09,4,09,2014,01,561,0,100,10.0,5.4,1035.2,8.0,32.0,9.0,0.0,25.3,10.0,2.8,15.9,0.0,,0.0,0.0,0.0
