day,dd,mm,year,collision_date,num_collisions,injured,fatalities,weighted_fatalities_injuries,num_vehicles_involved,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
1,11,01,2021,2021-01-11,238,85,0,8.5,428,20.5,1025.4,5.1,41.0,28.0,0.0,32.4,10.0,2.7,,0.0,,0.0,0.0,0.0
7,10,01,2021,2021-01-10,177,85,0,8.5,309,16.8,1019.9,8.9,41.0,24.1,0.0,34.1,10.0,4.1,15.9,0.0,,0.0,0.0,0.0
1,25,01,2021,2021-01-25,260,85,0,8.5,454,9.0,1019.6,11.1,37.0,21.9,0.0,29.0,10.0,5.0,17.1,0.0,,0.0,0.0,0.0
3,13,05,2020,2020-05-13,212,90,0,9.0,387,22.0,1023.8,9.9,64.0,41.0,0.0,52.0,10.0,5.2,17.1,0.0,,0.0,0.0,0.0
1,18,02,2013,2013-02-18,398,90,0,9.0,791,2.0,1019.7,18.1,35.1,17.1,0.0,23.4,10.0,8.2,28.9,0.0,,0.0,0.0,0.0
1,31,01,2022,2022-01-31,312,90,0,9.0,524,5.6,1025.3,6.0,30.9,12.0,0.0,25.0,10.0,3.5,14.0,0.0,7.1,0.0,0.0,0.0
6,23,05,2020,2020-05-23,193,90,0,9.0,355,60.4,1016.3,,77.0,54.0,1.0,62.7,5.5,,,0.03,,0.0,0.0,0.0
7,17,05,2020,2020-05-17,171,90,0,9.0,307,44.8,1024.1,8.0,77.0,55.0,0.0,60.9,10.0,2.4,,0.01,,0.0,0.0,0.0
6,28,03,2015,2015-03-28,459,90,0,9.0,920,21.1,1009.7,11.1,46.0,33.1,0.0,37.2,9.8,6.3,19.0,0.27,,0.0,0.0,1.0
4,21,05,2020,2020-05-21,212,95,0,9.5,392,40.6,1029.3,,68.0,46.0,0.0,55.4,10.0,,,0.0,,0.0,0.0,0.0
2,03,03,2015,2015-03-03,631,95,0,9.5,1260,11.9,1027.7,14.0,39.0,21.9,0.0,28.2,8.5,4.7,20.0,0.0,15.0,0.0,0.0,1.0
4,25,02,2021,2021-02-25,269,95,0,9.5,476,23.5,1014.8,13.0,54.0,39.0,0.0,46.0,10.0,8.2,27.0,0.0,2.0,0.0,0.0,0.0
7,06,12,2020,2020-12-06,241,95,0,9.5,430,21.7,1008.4,15.9,46.9,35.1,0.0,37.8,10.0,9.6,26.0,0.32,,0.0,0.0,0.0
1,23,03,2015,2015-03-23,586,100,0,10.0,1160,4.3,1022.6,9.9,43.0,23.0,0.0,30.3,10.0,5.5,17.1,0.0,,0.0,0.0,0.0
5,07,01,2022,2022-01-07,296,100,0,10.0,506,20.1,1011.9,11.1,41.0,27.0,1.0,31.1,6.1,6.9,22.9,0.35,,0.0,0.0,1.0
2,09,02,2016,2016-02-09,571,100,0,10.0,1111,21.8,1004.4,8.9,39.0,27.0,0.0,30.4,9.4,4.7,,0.05,,0.0,0.0,1.0
